DEP	1	1
CAN	2	2
CAN	8	2
CAN	10	2
CAN	11	2
CAN	19	2
CAN	40	2
CAN	20	2
CAN	21	2
CAN	26	2
CAN	27	2
CAN	42	2
CAN	29	2
CAN	30	2
CAN	32	2
CAN	35	2
DEP	2	2
DEP	3	2
DEP	4	2
CAN	2	1
CAN	4	1
CAN	7	1
CAN	9	1
CAN	11	1
CAN	12	1
CAN	22	1
CAN	26	1
DEP	5	1
CAN	3	2
CAN	4	2
CAN	12	2
CAN	15	2
CAN	16	2
CAN	22	2
CAN	23	2
CAN	24	2
DEP	6	2
CAN	11	1
CAN	18	1
CAN	22	1
CAN	23	1
CAN	24	1
CAN	29	1
DEP	7	2
DEP	8	2
DEP	9	2
DEP	10	2
DEP	11	3
CAN	1	2
CAN	2	2
CAN	5	2
CAN	7	2
CAN	8	2
CAN	35	2
CAN	32	2
CAN	9	2
CAN	10	2
CAN	11	2
CAN	12	2
CAN	16	2
CAN	20	2
CAN	21	2
CAN	22	2
CAN	28	2
CAN	29	2
DEP	12	2
DEP	13	3
DEP	14	2
DEP	15	1
CAN	1	2
CAN	5	2
CAN	8	2
CAN	12	2
CAN	13	2
CAN	16	2
CAN	19	2
CAN	20	2
DEP	16	1
DEP	17	3
CAN	17	1
CAN	18	1
CAN	19	1
CAN	2	2
CAN	4	2
CAN	5	2
CAN	8	2
CAN	9	2
CAN	11	2
CAN	12	2
CAN	15	2
CAN	16	2
CAN	20	2
CAN	51	2
CAN	34	2
CAN	35	2
CAN	27	2
CAN	28	2
CAN	29	2
CAN	32	2
CAN	33	2
CAN	36	2
CAN	38	2
DEP	18	2
DEP	19	1
DEP	2B	4
CAN	5	3
CAN	11	3
CAN	12	3
CAN	20	3
DEP	2A	3
CAN	7	4
CAN	70	4
CAN	22	4
CAN	40	4
CAN	55	4
DEP	21	2
CAN	3	1
CAN	38	1
CAN	9	1
CAN	10	1
CAN	11	1
CAN	12	1
CAN	39	1
CAN	40	1
CAN	41	1
CAN	42	1
CAN	13	1
CAN	43	1
CAN	14	1
CAN	16	1
CAN	17	1
CAN	20	1
CAN	25	1
CAN	29	1
CAN	30	1
CAN	32	1
DEP	22	3
DEP	23	1
DEP	24	1
DEP	25	1
CAN	3	2
CAN	8	2
CAN	34	2
CAN	9	2
CAN	10	2
CAN	12	2
CAN	14	2
CAN	30	2
CAN	21	2
CAN	26	2
CAN	31	2
CAN	35	2
DEP	26	2
DEP	27	2
DEP	28	2
DEP	29	3
DEP	30	2
CAN	1	3
CAN	46	3
CAN	6	3
CAN	9	3
CAN	45	3
CAN	27	3
CAN	16	3
CAN	17	3
CAN	18	3
CAN	19	3
CAN	42	3
CAN	43	3
CAN	44	3
CAN	21	3
CAN	30	3
CAN	32	3
CAN	37	3
DEP	31	1
CAN	3	2
CAN	8	2
CAN	12	2
CAN	17	2
CAN	21	2
CAN	24	2
CAN	25	2
CAN	38	2
DEP	32	1
DEP	33	1
CAN	20	2
CAN	29	2
CAN	33	2
CAN	42	2
CAN	46	2
DEP	34	3
DEP	35	2
DEP	36	2
DEP	37	2
DEP	38	1
CAN	2	2
CAN	15	2
CAN	28	2
DEP	39	1
DEP	40	1
CAN	2	2
CAN	3	2
CAN	4	2
CAN	29	2
CAN	12	2
CAN	14	2
CAN	16	2
CAN	18	2
CAN	21	2
CAN	23	2
CAN	25	2
CAN	26	2
CAN	27	2
DEP	41	2
DEP	42	2
DEP	43	2
DEP	44	3
CAN	2	2
CAN	3	2
CAN	8	2
CAN	11	2
CAN	12	2
CAN	16	2
CAN	19	2
CAN	27	2
CAN	28	2
CAN	33	2
CAN	34	2
CAN	37	2
CAN	38	2
CAN	40	2
CAN	45	2
DEP	45	2
DEP	46	1
DEP	47	1
DEP	48	2
DEP	49	2
DEP	50	2
DEP	51	2
DEP	52	2
DEP	53	2
DEP	54	2
DEP	55	2
DEP	56	3
DEP	57	2
DEP	58	2
DEP	59	3
CAN	1	2
CAN	71	2
CAN	3	2
CAN	4	2
CAN	8	2
CAN	10	2
CAN	11	2
CAN	13	2
CAN	14	2
CAN	15	2
CAN	17	2
CAN	18	2
CAN	19	2
CAN	21	2
CAN	22	2
CAN	77	2
CAN	24	2
CAN	23	2
CAN	69	2
CAN	32	2
CAN	42	2
CAN	43	2
CAN	44	2
CAN	45	2
CAN	59	2
CAN	47	2
CAN	49	2
CAN	50	2
CAN	51	2
CAN	55	2
CAN	56	2
CAN	58	2
CAN	64	2
CAN	65	2
CAN	66	2
CAN	67	2
DEP	60	2
DEP	61	2
DEP	62	3
CAN	9	2
CAN	11	2
CAN	20	2
CAN	35	2
CAN	46	2
DEP	63	2
DEP	64	2
DEP	65	1
DEP	66	3
DEP	67	2
DEP	68	2
DEP	69	2
DEP	70	2
CAN	2	1
CAN	4	1
CAN	6	1
CAN	8	1
CAN	9	1
CAN	10	1
CAN	15	1
CAN	17	1
CAN	19	1
CAN	21	1
CAN	24	1
DEP	71	2
DEP	72	2
DEP	73	1
DEP	74	1
DEP	75	2
DEP	76	2
CAN	3	3
CAN	5	3
CAN	9	3
CAN	19	3
CAN	14	3
CAN	62	3
CAN	18	3
CAN	22	3
CAN	39	3
CAN	50	3
DEP	77	2
DEP	78	2
DEP	79	2
DEP	80	3
CAN	5	2
CAN	6	2
CAN	14	2
CAN	15	2
CAN	16	2
CAN	24	2
CAN	27	2
CAN	28	2
CAN	30	2
CAN	33	2
CAN	36	2
CAN	37	2
CAN	38	2
DEP	81	2
CAN	5	1
CAN	7	1
CAN	9	1
CAN	12	1
CAN	13	1
CAN	17	1
CAN	18	1
CAN	25	1
CAN	29	1
CAN	30	1
CAN	34	1
DEP	82	1
DEP	83	2
DEP	84	2
DEP	85	3
DEP	86	1
DEP	87	1
DEP	88	2
DEP	89	2
DEP	90	2
DEP	91	2
DEP	92	2
DEP	93	2
DEP	94	2
DEP	95	2
